Scaled Voxel Centers:
 [ 1.40119482e+00  2.43225227e+00 -7.13798297e-03]
 [ 1.39489060e+00  2.43356823e+00 -7.13289713e-03]
 [ 1.39255016e+00  2.44181776e+00 -7.14815466e-03]
 [ 1.38129770e+00  2.43441307e+00 -7.11763959e-03]
 [ 1.37893297e+00  2.44264569e+00 -7.13289713e-03]
 [ 1.36968312e+00  2.43867312e+00 -7.11255375e-03]
 [ 1.35899380e+00  2.43205297e+00 -7.08458160e-03]
 [ 1.35514235e+00  2.43763408e+00 -7.09221037e-03]
 [ 1.34885310e+00  2.43883457e+00 -7.08712452e-03]
 [ 1.34352922e+00  2.44177149e+00 -7.08712452e-03]
 [ 1.33723862e+00  2.44294243e+00 -7.08203868e-03]
 [ 1.33286228e+00  2.44761045e+00 -7.08712452e-03]
 [ 1.32513737e+00  2.44611629e+00 -7.07440991e-03]
 [ 1.31457919e+00  2.43931812e+00 -7.04643777e-03]
 [ 1.30594693e+00  2.43601092e+00 -7.02863731e-03]
 [ 1.30345267e+00  2.44414842e+00 -7.04389484e-03]
 [ 1.29764867e+00  2.44610289e+00 -7.04135192e-03]
 [ 1.28810869e+00  2.44096840e+00 -7.01846562e-03]
 [ 1.28603372e+00  2.44997077e+00 -7.03626608e-03]
 [ 1.27929716e+00  2.45011130e+00 -7.02863731e-03]
 [ 1.26841794e+00  2.44224711e+00 -6.99812224e-03]
 [ 1.26584033e+00  2.45033938e+00 -7.01337978e-03]
 [ 1.25683530e+00  2.44597959e+00 -6.99303640e-03]
 [ 1.25422658e+00  2.45405839e+00 -7.00829393e-03]
 [ 1.24479139e+00  2.44876593e+00 -6.98540763e-03]
 [ 1.23899488e+00  2.45058338e+00 -6.98286471e-03]
 [ 1.22915311e+00  2.44434659e+00 -6.95743549e-03]
 [ 1.22918510e+00  2.45775490e+00 -6.98795055e-03]
 [ 1.21313183e+00  2.43894222e+00 -6.92692042e-03]
 [ 1.21002501e+00  2.44606466e+00 -6.93963503e-03]
 [ 1.20424424e+00  2.44780140e+00 -6.93709211e-03]
 [ 1.19802188e+00  2.44862645e+00 -6.93200626e-03]
 [ 1.19005188e+00  2.44583906e+00 -6.91674873e-03]
 [ 1.18514864e+00  2.44932967e+00 -6.91929165e-03]
 [ 1.18066943e+00  2.45371163e+00 -6.92437750e-03]
 [ 1.17229212e+00  2.44996724e+00 -6.90657704e-03]
 [ 1.16694436e+00  2.45251894e+00 -6.90657704e-03]
 [ 1.16201874e+00  2.45596289e+00 -6.90911996e-03]
 [ 1.15623222e+00  2.45758730e+00 -6.90657704e-03]
 [ 1.14917293e+00  2.45648082e+00 -6.89640535e-03]
 [ 1.13664111e+00  2.44356809e+00 -6.85317567e-03]
 [ 1.13298623e+00  2.44967265e+00 -6.86334736e-03]
 [ 1.12555022e+00  2.44759592e+00 -6.85063275e-03]
 [ 1.12311846e+00  2.45641176e+00 -6.86843320e-03]
 [ 1.11858442e+00  2.46067687e+00 -6.87351905e-03]
 [ 1.11280159e+00  2.46220012e+00 -6.87097613e-03]
 [ 1.10865685e+00  2.46735844e+00 -6.87860489e-03]
 [ 1.10041626e+00  2.46337999e+00 -6.86080444e-03]
 [ 1.09625703e+00  2.46851663e+00 -6.86843320e-03]
 [ 1.08602248e+00  2.45992468e+00 -6.83791814e-03]
 [ 1.07824163e+00  2.45679414e+00 -6.82266060e-03]
 [ 1.07807765e+00  2.47105596e+00 -6.85571859e-03]
 [ 1.06631804e+00  2.45872312e+00 -6.81503184e-03]
 [ 2.67126329e+00  6.86719091e-01  1.01829856e-01]
 [ 2.66754178e+00  7.35625430e-01  1.02161910e-01]
 [ 2.65813136e+00  7.83198217e-01  1.02309490e-01]
 [ 2.66980235e+00  8.37546033e-01  1.03305651e-01]
 [ 2.67089684e+00  8.89380142e-01  1.03932864e-01]
 [ 2.68324263e+00  9.45824859e-01  1.05039710e-01]
 [ 2.67943859e+00  9.97390445e-01  1.05556239e-01]
 [ 2.67743896e+00  1.05020460e+00  1.06183451e-01]
 [ 2.68549285e+00  1.10782394e+00  1.07253403e-01]
 [ 2.68592385e+00  1.16326094e+00  1.08065090e-01]
 [ 2.68796157e+00  1.22028699e+00  1.08987462e-01]
 [ 2.68701485e+00  1.27687753e+00  1.09836044e-01]
 [ 2.68848514e+00  1.33558222e+00  1.10832206e-01]
 [ 2.69049163e+00  1.39564383e+00  1.11902157e-01]
 [ 2.69297068e+00  1.45712921e+00  1.13045898e-01]
 [ 2.69672618e+00  1.52059441e+00  1.14300324e-01]
 [ 2.69821604e+00  1.58412336e+00  1.15517855e-01]
 [ 2.70085957e+00  1.64972531e+00  1.16846070e-01]
 [ 2.70455660e+00  1.71750350e+00  1.18284971e-01]
 [ 2.70002772e+00  1.78150388e+00  1.19428712e-01]
 [ 2.70644651e+00  1.85433676e+00  1.21125876e-01]
 [ 2.70787638e+00  1.92561192e+00  1.22675461e-01]
 [ 2.71728252e+00  2.00461334e+00  1.24667784e-01]
 [ 2.67474008e+00  2.04626639e+00  1.24335730e-01]
 [ 2.58146333e+00  2.04730535e+00  1.21642404e-01]
 [ 2.49670277e+00  2.05207078e+00  1.19318027e-01]
 [ 2.41333773e+00  2.05516152e+00  1.17030545e-01]
 [ 2.33813371e+00  2.06259060e+00  1.15112011e-01]
 [ 2.26046651e+00  2.06533479e+00  1.13045898e-01]
